,piece,file,rank,index,probability,count
716,B,d,8,44,0.0009262731057954333,13545
746,b,g,8,74,0.0009266834150338809,13551
503,K,b,6,215,0.000930923277164506,13613
221,k,c,3,509,0.0009426170904602623,13784
766,Q,h,8,94,0.0009640215557326116,14097
190,Q,h,2,670,0.000984742172274215,14400
485,k,a,6,197,0.0009892555738971384,14466
233,k,d,3,521,0.000995957291458449,14564
168,p,g,2,648,0.000996983064554568,14579
658,Q,g,7,178,0.001011617427392532,14793
92,B,h,1,764,0.0010399287648454156,15207
515,K,c,6,227,0.0010399287648454156,15207
157,n,f,2,637,0.0010453995546913836,15287
668,B,h,7,188,0.0010601023024024222,15502
203,K,a,3,491,0.0010620170788485108,15530
527,K,d,6,239,0.0010850627810746504,15867
269,k,g,3,557,0.0010869091726476647,15894
539,K,e,6,251,0.0010894394129514248,15931
98,b,a,2,578,0.0010918328835090357,15966
563,K,g,6,275,0.0010949785876704673,16012
571,N,h,6,283,0.00111152772695452,16254
377,k,h,4,473,0.0011175455957850846,16342
245,k,e,3,533,0.0011217170730426352,16403
16,q,b,1,688,0.0011338895804499137,16581
156,p,f,2,636,0.0011427112290765368,16710
305,k,b,4,401,0.001154610196991517,16884
257,k,f,3,545,0.0011664407800334223,17057
694,Q,b,8,22,0.0011699284085602269,17108
180,p,h,2,660,0.0011836737680482213,17309
479,K,h,5,383,0.0011853833898750861,17334
682,Q,a,8,10,0.0012173191256009235,17801
730,Q,e,8,58,0.0012312696397081416,18005
551,K,f,6,263,0.0012357830413310652,18071
584,B,a,7,104,0.0012622479872109345,18458
144,p,e,2,624,0.001263342145180128,18474
706,Q,c,8,34,0.0012742837248720638,18634
28,q,c,1,700,0.0012904909397907437,18871
52,q,e,1,724,0.0013150411092245245,19230
595,N,b,7,115,0.0013205118990704922,19310
109,n,b,2,589,0.0013278290804894742,19417
145,n,e,2,625,0.0013361720350045752,19539
407,K,b,5,311,0.0013504644734771663,19748
643,N,f,7,163,0.0013672871522535175,19994
4,q,a,1,676,0.0013711850900187696,20051
133,n,d,2,613,0.0013980603451370867,20444
654,P,g,7,174,0.0014022318223946373,20505
75,r,g,1,747,0.0014046252929522482,20540
268,q,g,3,556,0.0014258929884784482,20851
170,b,g,2,650,0.0014453826773047087,21136
158,b,f,2,638,0.001447229068877723,21163
40,q,d,1,712,0.0014561191023774206,21293
160,q,f,2,640,0.0014572816452196888,21310
