,piece,file,rank,index,probability,count
409,n,c,5,313,0.021798772450497387,318766
439,N,e,5,343,0.02205282225396952,322481
737,k,f,8,65,0.02224840299096287,325341
629,k,e,7,149,0.02224853976070902,325343
260,B,f,3,548,0.022602568248616214,330520
238,Q,d,3,526,0.022783993316883123,333173
211,N,b,3,499,0.022798559294848014,333386
23,K,b,1,695,0.022945860311450697,335540
212,B,b,3,500,0.023141235893824826,338397
433,n,e,5,337,0.02341361284328095,342380
446,b,f,5,350,0.023642428628588556,345726
167,K,f,2,647,0.024070859858400913,351991
496,q,b,6,208,0.024583062557729653,359481
542,b,f,6,254,0.025064492064174826,366521
641,k,f,7,161,0.025152161471456463,367803
493,n,b,6,205,0.026213494701574226,383323
288,p,a,4,384,0.026488265121587962,387341
348,p,f,4,444,0.02722408635587064,398101
474,P,h,5,378,0.027236942712008664,398289
421,n,d,5,325,0.027449140973159144,401392
665,k,h,7,185,0.0283031996529878,413881
464,B,g,5,368,0.028570516121836406,417790
616,q,d,7,136,0.028750505107768748,420422
35,K,c,1,707,0.02995086478484717,437975
402,P,b,5,306,0.030305371966865887,443159
450,P,f,5,354,0.030508748579389743,446133
191,K,h,2,671,0.030643945473458223,448110
390,P,a,5,294,0.031533564287285674,461119
462,P,g,5,366,0.0316950209726148,463480
518,b,d,6,230,0.03273665935928708,478712
320,B,c,4,416,0.03332237579717101,487277
625,n,e,7,145,0.033913563024900915,495922
356,B,f,4,452,0.03477145125762175,508467
140,B,d,2,620,0.0368221768313828,538455
628,q,e,7,148,0.03789540902941555,554149
414,P,c,5,318,0.03961022810663417,579225
336,p,e,4,432,0.03985614011021043,582821
151,N,e,2,631,0.03988417790817102,583231
116,B,b,2,596,0.04090140289515566,598106
530,b,e,6,242,0.04247958899597124,621184
761,k,h,8,89,0.04281467487403677,626084
324,p,d,4,420,0.0430447899719328,629449
179,K,g,2,659,0.04337652499121767,634300
312,p,c,4,408,0.0438572706489321,641330
21,R,b,1,693,0.044089026983781913,644719
300,p,b,4,396,0.04491559494463458,656806
331,N,d,4,427,0.04600838521636666,672786
130,Q,c,2,610,0.04773052147500427,697969
154,Q,e,2,634,0.04805897402038156,702772
653,k,g,7,173,0.04896548389785844,716028
95,K,h,1,767,0.04963982713124705,725889
614,b,d,7,134,0.05056199714465801,739374
142,Q,d,2,622,0.0509766146301093,745437
687,r,b,8,15,0.051495177122633976,753020
139,N,d,2,619,0.055500205599120896,811586
604,q,c,7,124,0.06101640300081029,892250
456,p,g,5,360,0.06282914921627174,918758
138,P,d,2,618,0.06285246845799018,919099
152,B,e,2,632,0.06704295671025541,980377
590,b,b,7,110,0.07087640754019817,1036434
234,P,d,3,522,0.0727002321050977,1063104
236,B,d,3,524,0.0731500678001824,1069682
33,R,c,1,705,0.07404857664750955,1082821
366,P,g,4,462,0.0744845985982332,1089197
468,p,h,5,372,0.07688901073553607,1124357
699,r,c,8,27,0.0775221178904607,1133615
79,N,g,1,751,0.07958385342878677,1163764
540,p,f,6,252,0.08002069599798729,1170152
306,P,b,4,402,0.08176074909337044,1195597
248,B,e,3,536,0.08205391504424125,1199884
378,P,h,4,474,0.08267785862617388,1209008
711,r,d,8,39,0.0851785566647658,1245576
745,n,g,8,73,0.08699383312053101,1272121
723,r,e,8,51,0.09628049888406146,1407921
613,n,d,7,133,0.09727802902760062,1422508
384,p,a,5,288,0.0979279588613016,1432012
444,p,f,5,348,0.09829826294900054,1437427
438,P,e,5,342,0.0994304429076236,1453983
612,p,d,7,132,0.09998593323160855,1462106
626,b,e,7,146,0.10297544634293769,1505822
294,P,a,4,390,0.10526825436738282,1539350
396,p,b,5,300,0.10624253365407663,1553597
258,P,f,3,546,0.10629341199964412,1554341
426,P,d,5,330,0.1067032425439802,1560334
150,P,e,2,630,0.11015900371993194,1610868
57,R,e,1,729,0.11037386899113233,1614010
176,B,g,2,656,0.11916310318791815,1742536
354,P,f,4,450,0.12126915212399654,1773333
246,P,e,3,534,0.12235496713867501,1789211
505,n,c,6,217,0.12297856879624228,1798330
45,R,d,1,717,0.12606929151972182,1843526
19,N,b,1,691,0.1271947013759105,1859983
210,P,b,3,498,0.13628961595533975,1992979
198,P,a,3,486,0.13651610665496283,1996291
222,P,c,3,510,0.1369915866774505,2003244
492,p,b,6,204,0.13705279113885227,2004139
650,b,g,7,170,0.1496236404317903,2187964
624,p,e,7,144,0.1601635957641589,2342091
504,p,c,6,216,0.1604263304465115,2345933
408,p,c,5,312,0.16586723610294576,2425496
685,n,b,8,13,0.1661194395148449,2429184
564,p,h,6,276,0.1708516727316071,2498384
68,B,f,1,740,0.17173910322949615,2511361
432,p,e,5,336,0.17469756960844943,2554623
734,b,f,8,62,0.17767661983419814,2598186
282,P,h,3,570,0.19036030416770924,2783661
420,p,d,5,324,0.1936866127789308,2832302
600,p,c,7,120,0.19874251159995507,2906235
318,P,c,4,414,0.20057351657652742,2933010
223,N,c,3,511,0.20363360287686955,2977758
69,R,f,1,741,0.20746602793371619,3033800
480,p,a,6,192,0.2139935692233058,3129253
516,p,d,6,228,0.22017139027199195,3219592
735,r,f,8,63,0.22629915359358746,3309199
259,N,f,3,547,0.22833825373892583,3339017
59,K,e,1,731,0.2315131582411602,3385444
126,P,c,2,606,0.23371009067355475,3417570
541,n,f,6,253,0.24196797440655093,3538326
32,B,c,1,704,0.24391311373628483,3566770
270,P,g,3,558,0.2460555434248389,3598099
725,k,e,8,53,0.25063035466378336,3664997
330,P,d,4,426,0.2623033105732519,3835692
93,R,h,1,765,0.2664764290677562,3896716
528,p,e,6,240,0.26690663830426853,3903007
342,P,e,4,438,0.27016695551297304,3950683
759,r,h,8,87,0.2732496772063029,3995762
46,Q,d,1,718,0.28112316956774674,4110897
698,b,c,8,26,0.2816778392732548,4119008
712,q,d,8,40,0.30951130323309317,4526020
552,p,g,6,264,0.31267150498761653,4572232
83,K,g,1,755,0.38332060120971473,5605342
749,k,g,8,77,0.3878469275736493,5671531
9,R,a,1,681,0.4380385522457353,6405489
588,p,b,7,108,0.45304253532266753,6624894
576,p,a,7,96,0.45500668564711616,6653616
648,p,g,7,168,0.45888465502943043,6710324
675,r,a,8,3,0.47218913724071276,6904877
174,P,g,2,654,0.5132280621156214,7504994
114,P,b,2,594,0.514298422148985,7520646
102,P,a,2,582,0.521015047612626,7618864
162,P,f,2,642,0.5535946269184607,8095279
186,P,h,2,666,0.5578360619011665,8157302
660,p,h,7,180,0.5849574341776791,8553901
636,p,f,7,156,0.6085122617838591,8898346
